Year	CCAA	Value
2014	pais_vasco	2172247
2014	rioja	315736
2014	total_nacional	46495744
2015	andalucia	8388994
2015	aragon	1325600
2015	asturias	1049328
2015	baleares	1111002
2015	canarias	2101319
2015	cantabria	585184
2015	castilla_la_mancha	2062615
2015	castilla_leon	2475697
2015	catalunya	7420890
2015	ceuta	84561
2015	comunidad_valenciana	4945092
2015	extremadura	1092217
2015	galicia	2732801
2015	madrid	6375737
2015	melilla	85009
2015	murcia	1465195
2015	navarra	637317
2015	pais_vasco	2172707
2015	rioja	314457
2015	total_nacional	46425722
2016	andalucia	8392046
2016	aragon	1318042
2016	asturias	1040407
2016	baleares	1117353
2016	canarias	2103436
2016	cantabria	582494
2016	castilla_la_mancha	2049336
2016	castilla_leon	2452721
2016	catalunya	7440692
2016	ceuta	84558
2016	comunidad_valenciana	4939888
2016	extremadura	1086153
2016	galicia	2719095
2016	madrid	6411466
2016	melilla	85457
2016	murcia	1468367
2016	navarra	638922
2016	pais_vasco	2174426
2016	rioja	314025
2016	total_nacional	46418884
2017	andalucia	8394017
2017	aragon	1315411
2017	asturias	1033550
2017	baleares	1128492
2017	canarias	2115233
2017	cantabria	581421
2017	castilla_la_mancha	2041422
2017	castilla_leon	2433535
2017	catalunya	7480778
2017	ceuta	85005
2017	comunidad_valenciana	4943821
2017	extremadura	1079108
2017	galicia	2708955
2017	madrid	6459297
2017	melilla	85918
2017	murcia	1475275
2017	navarra	642075
2017	pais_vasco	2179944
2017	rioja	314136
2017	total_nacional	46497393
2018	andalucia	8396464
2018	aragon	1313493
2018	asturias	1027091
2018	baleares	1141233
2018	canarias	2131581
2018	cantabria	581533
2018	castilla_la_mancha	2034409
2018	castilla_leon	2417013
2018	catalunya	7539364
2018	ceuta	85327
2018	comunidad_valenciana	4958584
2018	extremadura	1072721
2018	galicia	2703048
2018	madrid	6529923
2018	melilla	86084
2018	murcia	1478718
2018	navarra	646340
2018	pais_vasco	2187254
2018	rioja	314890
2018	total_nacional	46645070
2019	andalucia	8412222
2019	aragon	1320694
2019	asturias	1021469
2019	baleares	1157928
2019	canarias	2153316
2019	cantabria	581989
2019	castilla_la_mancha	2036777
2019	castilla_leon	2405568
2019	catalunya	7624625
2019	ceuta	85087
