Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Sexo	Periodo	Total
Total Nacional	08 Castilla - La Mancha		Hombres	2021	1.028.696
Total Nacional	08 Castilla - La Mancha		Mujeres	2024	1.049.210
Total Nacional	08 Castilla - La Mancha		Mujeres	2023	1.038.971
Total Nacional	08 Castilla - La Mancha		Mujeres	2022	1.026.546
Total Nacional	08 Castilla - La Mancha		Mujeres	2021	1.023.809
Total Nacional	08 Castilla - La Mancha	02 Albacete	Total	2024	389.070
Total Nacional	08 Castilla - La Mancha	02 Albacete	Total	2023	387.529
Total Nacional	08 Castilla - La Mancha	02 Albacete	Total	2022	385.967
Total Nacional	08 Castilla - La Mancha	02 Albacete	Total	2021	386.726
Total Nacional	08 Castilla - La Mancha	02 Albacete	Hombres	2024	194.761
